X,  Y
300, 2000
1700, 2000
1687.921875, 1999.757812
1736.160156, 1997.8125
1783.464844, 1988.15625
1828.609375, 1971.035156
1870.417969, 1946.894531
1907.816406, 1916.359375
1939.832031, 1880.222656
1965.636719, 1839.417969
1984.5625, 1795
1996.113281, 1748.125
2000, 1700
2000, 300
1996.113281, 251.875
1984.5625, 205
1965.636719, 160.582031
1939.832031, 119.777344
1907.816406, 83.640625
1870.417969, 53.105469
1828.609375, 28.964844
1783.464844, 11.84375
1736.160156, 2.1875
1700, 0
300, 0
336.160156, 2.1875
287.921875, 0.242188
239.992188, 6.0625
193.617188, 19.496094
150, 40.191406
110.265625, 67.617188
75.445312, 101.0625
46.441406, 139.660156
24.007812, 182.410156
8.71875, 228.207031
0.972656, 275.859375
0, 300
0, 1700
0.972656, 1675.859375
0.972656, 1724.140625
8.71875, 1771.792969
24.007812, 1817.589844
46.441406, 1860.339844
75.445312, 1898.9375
110.265625, 1932.382812
150, 1959.808594
193.617188, 1980.503906
239.992188, 1993.9375
287.921875, 1999.757812
300, 2000
